date,home_away,opponent,win_loss,team_pts,opponent_pts
4/10/19,vs.,OKC,L,116,127
4/7/19,vs.,ATL,W,115,107
4/6/19,vs.,BKN,L,128,133
4/4/19,@,PHI,W,128,122
4/1/19,@,BKN,W,131,121
3/31/19,@,ATL,L,135,136
3/28/19,vs.,LAC,W,128,118
3/26/19,vs.,HOU,W,108,94
3/24/19,vs.,CLE,W,127,105
3/22/19,vs.,MIA,W,116,87
3/20/19,@,CLE,L,102,107
3/19/19,vs.,LAL,W,115,101
3/17/19,vs.,PHI,L,125,130
3/15/19,@,MIA,W,113,98
3/12/19,@,NOP,W,130,113
3/10/19,@,SAS,L,114,121
3/9/19,vs.,CHA,W,131,114
3/7/19,vs.,IND,W,117,98
3/4/19,@,PHX,L,105,114
3/2/19,@,UTA,L,111,115
3/1/19,@,LAL,W,131,120
2/27/19,@,SAC,W,141,140
2/25/19,@,CHI,W,117,106
2/23/19,vs.,MIN,W,140,128
2/21/19,vs.,BOS,W,98,97
2/13/19,@,IND,W,106,97
2/11/19,@,CHI,W,112,99
2/9/19,vs.,ORL,L,83,103
2/8/19,@,DAL,W,122,107
2/6/19,vs.,WAS,W,148,129
2/4/19,@,BKN,W,113,94
2/2/19,@,WAS,W,131,115
1/31/19,@,TOR,W,105,92
1/29/19,@,DET,W,115,105
1/27/19,@,OKC,L,112,118
1/25/19,vs.,CHA,W,108,99
1/21/19,vs.,DAL,W,116,106
1/19/19,@,ORL,W,118,108
1/16/19,@,MEM,W,111,101
1/15/19,vs.,MIA,W,124,86
1/13/19,@,ATL,W,133,114
1/11/19,@,WAS,L,106,113
1/9/19,@,HOU,W,116,109
1/7/19,vs.,UTA,W,114,102
1/5/19,vs.,TOR,L,116,123
1/4/19,vs.,ATL,W,144,112
1/1/19,vs.,DET,W,121,98
12/29/18,vs.,BKN,W,129,115
12/27/18,vs.,NYK,W,112,96
12/25/18,@,NYK,W,109,95
12/22/18,@,MIA,L,87,94
12/21/18,@,BOS,W,120,107
12/19/18,vs.,NOP,W,123,115
12/17/18,@,DET,W,107,104
12/14/18,@,CLE,W,114,102
12/12/18,@,IND,L,97,113
12/10/18,vs.,CLE,W,108,92
12/9/18,@,TOR,W,104,99
12/7/18,vs.,GSW,L,95,105
12/5/18,vs.,DET,W,115,92
12/1/18,@,NYK,L,134,136
11/28/18,vs.,CHI,W,116,113
11/26/18,@,CHA,L,107,110
11/24/18,vs.,SAS,W,135,129
11/23/18,vs.,PHX,L,114,116
11/21/18,vs.,POR,W,143,100
11/19/18,vs.,DEN,W,104,98
11/16/18,vs.,CHI,W,123,104
11/14/18,vs.,MEM,L,113,116
11/11/18,@,DEN,W,121,114
11/10/18,@,LAC,L,126,128
11/8/18,@,GSW,W,134,111
11/6/18,@,POR,L,103,118
11/4/18,vs.,SAC,W,144,109
11/1/18,@,BOS,L,113,117
10/29/18,vs.,TOR,W,124,109
10/27/18,vs.,ORL,W,113,91
10/26/18,@,MIN,W,125,95
10/24/18,vs.,PHI,W,123,108
10/22/18,vs.,NYK,W,124,113
10/19/18,vs.,IND,W,118,101
10/17/18,@,CHA,W,113,112
