date,home_away,opponent,win_loss,team_pts,opponent_pts
4/10/19,vs.,DET,L,89,115
4/9/19,@,CHI,W,96,86
4/7/19,vs.,WAS,W,113,110
4/5/19,@,HOU,L,96,120
4/3/19,@,ORL,L,100,114
4/1/19,vs.,CHI,W,113,105
3/30/19,vs.,MIA,L,92,100
3/28/19,vs.,TOR,L,92,117
3/24/19,vs.,LAC,L,113,124
3/22/19,vs.,DEN,L,93,111
3/20/19,vs.,UTA,L,116,137
3/18/19,@,TOR,L,92,128
3/17/19,vs.,LAL,W,124,123
3/15/19,@,SAS,L,83,109
3/12/19,@,IND,L,98,103
3/10/19,@,MIN,L,92,103
3/9/19,vs.,SAC,L,94,102
3/6/19,@,PHX,L,96,107
3/4/19,@,SAC,L,108,115
3/3/19,@,LAC,L,107,128
2/28/19,vs.,CLE,L,118,125
2/26/19,vs.,ORL,W,108,103
2/24/19,vs.,SAS,W,130,118
2/22/19,vs.,MIN,L,104,115
2/14/19,@,ATL,W,106,91
2/13/19,vs.,PHI,L,111,126
2/11/19,@,CLE,L,104,107
2/9/19,vs.,TOR,L,99,104
2/8/19,@,DET,L,103,120
2/5/19,vs.,DET,L,92,105
2/3/19,vs.,MEM,L,84,96
2/1/19,vs.,BOS,L,99,113
1/30/19,vs.,DAL,L,90,114
1/28/19,@,CHA,L,92,101
1/27/19,vs.,MIA,L,97,106
1/25/19,@,BKN,L,99,109
1/23/19,vs.,HOU,L,110,114
1/21/19,vs.,OKC,L,109,127
1/17/19,@,WAS,L,100,101
1/13/19,vs.,PHI,L,105,108
1/11/19,vs.,IND,L,106,121
1/8/19,@,GSW,L,95,122
1/7/19,@,POR,L,101,111
1/4/19,@,LAL,W,119,112
1/1/19,@,DEN,L,108,115
12/29/18,@,UTA,L,97,129
12/27/18,@,MIL,L,96,112
12/25/18,vs.,MIL,L,95,109
12/21/18,vs.,ATL,L,107,114
12/19/18,@,PHI,L,109,131
12/17/18,vs.,PHX,L,110,128
12/16/18,@,IND,L,99,110
12/14/18,@,CHA,W,126,124
12/12/18,@,CLE,L,106,113
12/9/18,vs.,CHA,L,107,119
12/8/18,vs.,BKN,L,104,112
12/6/18,@,BOS,L,100,128
12/3/18,vs.,WAS,L,107,110
12/1/18,vs.,MIL,W,136,134
11/28/18,@,PHI,L,91,117
11/27/18,@,DET,L,108,115
11/25/18,@,MEM,W,103,98
11/23/18,vs.,NOP,W,114,109
11/21/18,@,BOS,W,117,109
11/20/18,vs.,POR,L,114,118
11/18/18,@,ORL,L,117,131
11/16/18,@,NOP,L,124,129
11/14/18,@,OKC,L,103,128
11/11/18,vs.,ORL,L,89,115
11/10/18,@,TOR,L,112,128
11/7/18,@,ATL,W,112,107
11/5/18,vs.,CHI,L,115,116
11/4/18,@,WAS,L,95,108
11/2/18,@,DAL,W,118,106
10/31/18,vs.,IND,L,101,107
10/29/18,vs.,BKN,W,115,96
10/26/18,vs.,GSW,L,100,128
10/24/18,@,MIA,L,87,110
10/22/18,@,MIL,L,113,124
10/20/18,vs.,BOS,L,101,103
10/19/18,@,BKN,L,105,107
10/17/18,vs.,ATL,W,126,107
